,key_as_string,key,doc_count
118,2021-01-05T23:00:00.000Z,1609887600000,0
119,2021-01-06T00:00:00.000Z,1609891200000,3
120,2021-01-06T01:00:00.000Z,1609894800000,1
121,2021-01-06T02:00:00.000Z,1609898400000,5
122,2021-01-06T03:00:00.000Z,1609902000000,4
123,2021-01-06T04:00:00.000Z,1609905600000,5
124,2021-01-06T05:00:00.000Z,1609909200000,1
125,2021-01-06T06:00:00.000Z,1609912800000,6
126,2021-01-06T07:00:00.000Z,1609916400000,1
127,2021-01-06T08:00:00.000Z,1609920000000,18
128,2021-01-06T09:00:00.000Z,1609923600000,5
129,2021-01-06T10:00:00.000Z,1609927200000,21
130,2021-01-06T11:00:00.000Z,1609930800000,13
131,2021-01-06T12:00:00.000Z,1609934400000,11
132,2021-01-06T13:00:00.000Z,1609938000000,14
133,2021-01-06T14:00:00.000Z,1609941600000,11
134,2021-01-06T15:00:00.000Z,1609945200000,43
135,2021-01-06T16:00:00.000Z,1609948800000,4
136,2021-01-06T17:00:00.000Z,1609952400000,1
137,2021-01-06T18:00:00.000Z,1609956000000,4
138,2021-01-06T19:00:00.000Z,1609959600000,2
139,2021-01-06T20:00:00.000Z,1609963200000,1
140,2021-01-06T21:00:00.000Z,1609966800000,8
141,2021-01-06T22:00:00.000Z,1609970400000,0
142,2021-01-06T23:00:00.000Z,1609974000000,0
143,2021-01-07T00:00:00.000Z,1609977600000,1
144,2021-01-07T01:00:00.000Z,1609981200000,2
145,2021-01-07T02:00:00.000Z,1609984800000,2
146,2021-01-07T03:00:00.000Z,1609988400000,1
147,2021-01-07T04:00:00.000Z,1609992000000,0
148,2021-01-07T05:00:00.000Z,1609995600000,0
149,2021-01-07T06:00:00.000Z,1609999200000,27
150,2021-01-07T07:00:00.000Z,1610002800000,22
151,2021-01-07T08:00:00.000Z,1610006400000,19
152,2021-01-07T09:00:00.000Z,1610010000000,12
153,2021-01-07T10:00:00.000Z,1610013600000,10
154,2021-01-07T11:00:00.000Z,1610017200000,8
155,2021-01-07T12:00:00.000Z,1610020800000,6
156,2021-01-07T13:00:00.000Z,1610024400000,6
157,2021-01-07T14:00:00.000Z,1610028000000,54
158,2021-01-07T15:00:00.000Z,1610031600000,24
159,2021-01-07T16:00:00.000Z,1610035200000,56
160,2021-01-07T17:00:00.000Z,1610038800000,6
161,2021-01-07T18:00:00.000Z,1610042400000,7
162,2021-01-07T19:00:00.000Z,1610046000000,5
163,2021-01-07T20:00:00.000Z,1610049600000,1
164,2021-01-07T21:00:00.000Z,1610053200000,7
165,2021-01-07T22:00:00.000Z,1610056800000,1
166,2021-01-07T23:00:00.000Z,1610060400000,0
167,2021-01-08T00:00:00.000Z,1610064000000,2
168,2021-01-08T01:00:00.000Z,1610067600000,2
169,2021-01-08T02:00:00.000Z,1610071200000,4
170,2021-01-08T03:00:00.000Z,1610074800000,1
171,2021-01-08T04:00:00.000Z,1610078400000,20
172,2021-01-08T05:00:00.000Z,1610082000000,16
173,2021-01-08T06:00:00.000Z,1610085600000,5
174,2021-01-08T07:00:00.000Z,1610089200000,161
175,2021-01-08T08:00:00.000Z,1610092800000,35
176,2021-01-08T09:00:00.000Z,1610096400000,24
177,2021-01-08T10:00:00.000Z,1610100000000,16
178,2021-01-08T11:00:00.000Z,1610103600000,21
179,2021-01-08T12:00:00.000Z,1610107200000,6
180,2021-01-08T13:00:00.000Z,1610110800000,26
181,2021-01-08T14:00:00.000Z,1610114400000,7
182,2021-01-08T15:00:00.000Z,1610118000000,21
183,2021-01-08T16:00:00.000Z,1610121600000,3
184,2021-01-08T17:00:00.000Z,1610125200000,8
185,2021-01-08T18:00:00.000Z,1610128800000,0
186,2021-01-08T19:00:00.000Z,1610132400000,0
187,2021-01-08T20:00:00.000Z,1610136000000,0
188,2021-01-08T21:00:00.000Z,1610139600000,0
189,2021-01-08T22:00:00.000Z,1610143200000,2
190,2021-01-08T23:00:00.000Z,1610146800000,5
191,2021-01-09T00:00:00.000Z,1610150400000,3
192,2021-01-09T01:00:00.000Z,1610154000000,0
193,2021-01-09T02:00:00.000Z,1610157600000,0
194,2021-01-09T03:00:00.000Z,1610161200000,0
195,2021-01-09T04:00:00.000Z,1610164800000,0
196,2021-01-09T05:00:00.000Z,1610168400000,0
197,2021-01-09T06:00:00.000Z,1610172000000,58
198,2021-01-09T07:00:00.000Z,1610175600000,13
199,2021-01-09T08:00:00.000Z,1610179200000,7
200,2021-01-09T09:00:00.000Z,1610182800000,1
201,2021-01-09T10:00:00.000Z,1610186400000,3
202,2021-01-09T11:00:00.000Z,1610190000000,2
203,2021-01-09T12:00:00.000Z,1610193600000,2
204,2021-01-09T13:00:00.000Z,1610197200000,0
205,2021-01-09T14:00:00.000Z,1610200800000,26
206,2021-01-09T15:00:00.000Z,1610204400000,2
207,2021-01-09T16:00:00.000Z,1610208000000,2
208,2021-01-09T17:00:00.000Z,1610211600000,2
209,2021-01-09T18:00:00.000Z,1610215200000,4
210,2021-01-09T19:00:00.000Z,1610218800000,3
211,2021-01-09T20:00:00.000Z,1610222400000,2
212,2021-01-09T21:00:00.000Z,1610226000000,2
213,2021-01-09T22:00:00.000Z,1610229600000,1
214,2021-01-09T23:00:00.000Z,1610233200000,1
215,2021-01-10T00:00:00.000Z,1610236800000,3
216,2021-01-10T01:00:00.000Z,1610240400000,1
217,2021-01-10T02:00:00.000Z,1610244000000,1
218,2021-01-10T03:00:00.000Z,1610247600000,0
219,2021-01-10T04:00:00.000Z,1610251200000,3
220,2021-01-10T05:00:00.000Z,1610254800000,2
221,2021-01-10T06:00:00.000Z,1610258400000,1
222,2021-01-10T07:00:00.000Z,1610262000000,0
223,2021-01-10T08:00:00.000Z,1610265600000,0
224,2021-01-10T09:00:00.000Z,1610269200000,0
225,2021-01-10T10:00:00.000Z,1610272800000,19
226,2021-01-10T11:00:00.000Z,1610276400000,3
227,2021-01-10T12:00:00.000Z,1610280000000,6
228,2021-01-10T13:00:00.000Z,1610283600000,2
229,2021-01-10T14:00:00.000Z,1610287200000,8
230,2021-01-10T15:00:00.000Z,1610290800000,1
231,2021-01-10T16:00:00.000Z,1610294400000,0
232,2021-01-10T17:00:00.000Z,1610298000000,4
233,2021-01-10T18:00:00.000Z,1610301600000,5
234,2021-01-10T19:00:00.000Z,1610305200000,3
235,2021-01-10T20:00:00.000Z,1610308800000,1
236,2021-01-10T21:00:00.000Z,1610312400000,0
237,2021-01-10T22:00:00.000Z,1610316000000,2
238,2021-01-10T23:00:00.000Z,1610319600000,2
239,2021-01-11T00:00:00.000Z,1610323200000,1
240,2021-01-11T01:00:00.000Z,1610326800000,3
241,2021-01-11T02:00:00.000Z,1610330400000,4
242,2021-01-11T03:00:00.000Z,1610334000000,4
243,2021-01-11T04:00:00.000Z,1610337600000,2
244,2021-01-11T05:00:00.000Z,1610341200000,21
245,2021-01-11T06:00:00.000Z,1610344800000,26
246,2021-01-11T07:00:00.000Z,1610348400000,9
247,2021-01-11T08:00:00.000Z,1610352000000,16
248,2021-01-11T09:00:00.000Z,1610355600000,30
249,2021-01-11T10:00:00.000Z,1610359200000,44
250,2021-01-11T11:00:00.000Z,1610362800000,20
251,2021-01-11T12:00:00.000Z,1610366400000,24
252,2021-01-11T13:00:00.000Z,1610370000000,14
253,2021-01-11T14:00:00.000Z,1610373600000,7
254,2021-01-11T15:00:00.000Z,1610377200000,23
255,2021-01-11T16:00:00.000Z,1610380800000,23
256,2021-01-11T17:00:00.000Z,1610384400000,19
257,2021-01-11T18:00:00.000Z,1610388000000,26
258,2021-01-11T19:00:00.000Z,1610391600000,5
259,2021-01-11T20:00:00.000Z,1610395200000,8
260,2021-01-11T21:00:00.000Z,1610398800000,7
261,2021-01-11T22:00:00.000Z,1610402400000,7
262,2021-01-11T23:00:00.000Z,1610406000000,21
263,2021-01-12T00:00:00.000Z,1610409600000,10
264,2021-01-12T01:00:00.000Z,1610413200000,1
265,2021-01-12T02:00:00.000Z,1610416800000,3
266,2021-01-12T03:00:00.000Z,1610420400000,1
267,2021-01-12T04:00:00.000Z,1610424000000,27
268,2021-01-12T05:00:00.000Z,1610427600000,5
269,2021-01-12T06:00:00.000Z,1610431200000,103
270,2021-01-12T07:00:00.000Z,1610434800000,5
271,2021-01-12T08:00:00.000Z,1610438400000,21
272,2021-01-12T09:00:00.000Z,1610442000000,25
273,2021-01-12T10:00:00.000Z,1610445600000,33
274,2021-01-12T11:00:00.000Z,1610449200000,70
275,2021-01-12T12:00:00.000Z,1610452800000,55
276,2021-01-12T13:00:00.000Z,1610456400000,28
277,2021-01-12T14:00:00.000Z,1610460000000,40
278,2021-01-12T15:00:00.000Z,1610463600000,21
279,2021-01-12T16:00:00.000Z,1610467200000,12
280,2021-01-12T17:00:00.000Z,1610470800000,15
281,2021-01-12T18:00:00.000Z,1610474400000,5
282,2021-01-12T19:00:00.000Z,1610478000000,18
283,2021-01-12T20:00:00.000Z,1610481600000,18
284,2021-01-12T21:00:00.000Z,1610485200000,2
285,2021-01-12T22:00:00.000Z,1610488800000,5
286,2021-01-12T23:00:00.000Z,1610492400000,4
287,2021-01-13T00:00:00.000Z,1610496000000,50
288,2021-01-13T01:00:00.000Z,1610499600000,0
289,2021-01-13T02:00:00.000Z,1610503200000,0
290,2021-01-13T03:00:00.000Z,1610506800000,0
291,2021-01-13T04:00:00.000Z,1610510400000,0
292,2021-01-13T05:00:00.000Z,1610514000000,14
293,2021-01-13T06:00:00.000Z,1610517600000,29
294,2021-01-13T07:00:00.000Z,1610521200000,34
295,2021-01-13T08:00:00.000Z,1610524800000,7
296,2021-01-13T09:00:00.000Z,1610528400000,16
297,2021-01-13T10:00:00.000Z,1610532000000,37
298,2021-01-13T11:00:00.000Z,1610535600000,2
299,2021-01-13T12:00:00.000Z,1610539200000,25
300,2021-01-13T13:00:00.000Z,1610542800000,21
301,2021-01-13T14:00:00.000Z,1610546400000,34
302,2021-01-13T15:00:00.000Z,1610550000000,7
303,2021-01-13T16:00:00.000Z,1610553600000,7
304,2021-01-13T17:00:00.000Z,1610557200000,17
305,2021-01-13T18:00:00.000Z,1610560800000,12
306,2021-01-13T19:00:00.000Z,1610564400000,10
307,2021-01-13T20:00:00.000Z,1610568000000,2
308,2021-01-13T21:00:00.000Z,1610571600000,3
309,2021-01-13T22:00:00.000Z,1610575200000,5
310,2021-01-13T23:00:00.000Z,1610578800000,3
311,2021-01-14T00:00:00.000Z,1610582400000,9
312,2021-01-14T01:00:00.000Z,1610586000000,3
313,2021-01-14T02:00:00.000Z,1610589600000,1
314,2021-01-14T03:00:00.000Z,1610593200000,1
315,2021-01-14T04:00:00.000Z,1610596800000,11
316,2021-01-14T05:00:00.000Z,1610600400000,30
317,2021-01-14T06:00:00.000Z,1610604000000,7
318,2021-01-14T07:00:00.000Z,1610607600000,6
319,2021-01-14T08:00:00.000Z,1610611200000,20
320,2021-01-14T09:00:00.000Z,1610614800000,26
321,2021-01-14T10:00:00.000Z,1610618400000,37
322,2021-01-14T11:00:00.000Z,1610622000000,9
323,2021-01-14T12:00:00.000Z,1610625600000,12
324,2021-01-14T13:00:00.000Z,1610629200000,4
325,2021-01-14T14:00:00.000Z,1610632800000,15
326,2021-01-14T15:00:00.000Z,1610636400000,5
327,2021-01-14T16:00:00.000Z,1610640000000,4
328,2021-01-14T17:00:00.000Z,1610643600000,6
329,2021-01-14T18:00:00.000Z,1610647200000,22
330,2021-01-14T19:00:00.000Z,1610650800000,2
